proc,cfg,length,nruns,elapsed
"Lasso.jl Normal naive","(0.95,1000,100)",0,22,1.049473007
"Lasso.jl Normal naive","(0.0,5000,100)",0,14,1.031666983
"Lasso.jl Normal naive","(0.1,5000,100)",0,13,1.024519014
"Lasso.jl Normal naive","(0.2,5000,100)",0,13,1.069823212
"Lasso.jl Normal naive","(0.5,5000,100)",0,10,1.074346077
"Lasso.jl Normal naive","(0.9,5000,100)",0,6,1.150491562
"Lasso.jl Normal naive","(0.95,5000,100)",0,5,1.156260467
"Lasso.jl Normal naive","(0.0,100,500)",0,62,1.012353804
"Lasso.jl Normal naive","(0.1,100,500)",0,62,0.999767899
"Lasso.jl Normal naive","(0.2,100,500)",0,69,1.020638066
"Lasso.jl Normal naive","(0.5,100,500)",0,70,1.035819497
"Lasso.jl Normal naive","(0.9,100,500)",0,57,1.044690995
"Lasso.jl Normal naive","(0.95,100,500)",0,61,1.010921758
"Lasso.jl Normal naive","(0.0,100,1000)",0,49,1.02532657
"Lasso.jl Normal naive","(0.1,100,1000)",0,56,1.071787496
"Lasso.jl Normal naive","(0.2,100,1000)",0,45,1.056185943
"Lasso.jl Normal naive","(0.5,100,1000)",0,47,1.021482583
"Lasso.jl Normal naive","(0.9,100,1000)",0,39,1.048308718
"Lasso.jl Normal naive","(0.95,100,1000)",0,41,1.003912993
"Lasso.jl Normal naive","(0.0,100,5000)",0,15,0.99744296
"Lasso.jl Normal naive","(0.1,100,5000)",0,16,1.094619654
"Lasso.jl Normal naive","(0.2,100,5000)",0,16,1.072996965
"Lasso.jl Normal naive","(0.5,100,5000)",0,15,1.029761977
"Lasso.jl Normal naive","(0.9,100,5000)",0,14,1.04984718
"Lasso.jl Normal naive","(0.95,100,5000)",0,14,1.048024172
"glmnet Normal cov","(0.0,1000,100)",0,159,1.027164614
"glmnet Normal cov","(0.1,1000,100)",0,150,1.004356687
"glmnet Normal cov","(0.2,1000,100)",0,155,1.00146469
"glmnet Normal cov","(0.5,1000,100)",0,133,0.99644181
"glmnet Normal cov","(0.9,1000,100)",0,104,1.093355493
"glmnet Normal cov","(0.95,1000,100)",0,69,0.871260424
"glmnet Normal cov","(0.0,5000,100)",0,36,0.978366185
"glmnet Normal cov","(0.1,5000,100)",0,37,0.99950544
"glmnet Normal cov","(0.2,5000,100)",0,38,1.022424508
"glmnet Normal cov","(0.5,5000,100)",0,38,1.042857067
"glmnet Normal cov","(0.9,5000,100)",0,34,0.97991282
"glmnet Normal cov","(0.95,5000,100)",0,34,1.026462546
"glmnet Normal cov","(0.0,100,500)",0,62,0.948102591
"glmnet Normal cov","(0.1,100,500)",0,71,1.05073528
"glmnet Normal cov","(0.2,100,500)",0,72,1.019942688
"glmnet Normal cov","(0.5,100,500)",0,46,0.935434642
"glmnet Normal cov","(0.9,100,500)",0,27,1.046818168
"glmnet Normal cov","(0.95,100,500)",0,25,0.98144707
"glmnet Normal cov","(0.0,100,1000)",0,40,1.03070323
"glmnet Normal cov","(0.1,100,1000)",0,39,1.020172823
"glmnet Normal cov","(0.2,100,1000)",0,38,1.036615811
"glmnet Normal cov","(0.5,100,1000)",0,28,1.058661092
"glmnet Normal cov","(0.9,100,1000)",0,16,0.921380063
"glmnet Normal cov","(0.95,100,1000)",0,15,1.004582502
"glmnet Normal cov","(0.0,100,5000)",0,9,1.068900849
"glmnet Normal cov","(0.1,100,5000)",0,9,1.103405045
"glmnet Normal cov","(0.2,100,5000)",0,8,1.049727119
"glmnet Normal cov","(0.5,100,5000)",0,7,1.076826055
"glmnet Normal cov","(0.9,100,5000)",0,4,1.161552692
"glmnet Normal cov","(0.95,100,5000)",0,4,1.319171781
"Lasso.jl Normal cov","(0.0,1000,100)",0,246,0.903971057
"Lasso.jl Normal cov","(0.1,1000,100)",0,268,0.968540993
"Lasso.jl Normal cov","(0.2,1000,100)",0,279,1.033705714
"Lasso.jl Normal cov","(0.5,1000,100)",0,245,1.033832613
"Lasso.jl Normal cov","(0.9,1000,100)",0,193,1.01985335
"Lasso.jl Normal cov","(0.95,1000,100)",0,174,1.041509413
"Lasso.jl Normal cov","(0.0,5000,100)",0,74,0.966539121
"Lasso.jl Normal cov","(0.1,5000,100)",0,79,1.022224338
"Lasso.jl Normal cov","(0.2,5000,100)",0,80,1.041599727
"Lasso.jl Normal cov","(0.5,5000,100)",0,78,1.039106623
"Lasso.jl Normal cov","(0.9,5000,100)",0,74,1.071269868
"Lasso.jl Normal cov","(0.95,5000,100)",0,65,0.980335498
"Lasso.jl Normal cov","(0.0,100,500)",0,72,0.956831328
"Lasso.jl Normal cov","(0.1,100,500)",0,76,1.033587454
"Lasso.jl Normal cov","(0.2,100,500)",0,85,1.033475044
"Lasso.jl Normal cov","(0.5,100,500)",0,87,1.025543438
"Lasso.jl Normal cov","(0.9,100,500)",0,83,1.042539683
"Lasso.jl Normal cov","(0.95,100,500)",0,100,1.04720262
"Lasso.jl Normal cov","(0.0,100,1000)",0,50,0.980309187
"Lasso.jl Normal cov","(0.1,100,1000)",0,54,0.988042469
"Lasso.jl Normal cov","(0.2,100,1000)",0,48,1.001443896
"Lasso.jl Normal cov","(0.5,100,1000)",0,50,1.006619669
"Lasso.jl Normal cov","(0.9,100,1000)",0,48,1.015583379
"Lasso.jl Normal cov","(0.95,100,1000)",0,61,1.002500745
"Lasso.jl Normal cov","(0.0,100,5000)",0,11,1.065136182
"Lasso.jl Normal cov","(0.1,100,5000)",0,11,1.107847481
"Lasso.jl Normal cov","(0.2,100,5000)",0,11,1.070841152
"Lasso.jl Normal cov","(0.5,100,5000)",0,10,0.9770545
"Lasso.jl Normal cov","(0.9,100,5000)",0,10,1.061990767
"Lasso.jl Normal cov","(0.95,100,5000)",0,12,1.014146867
