proc,cfg,length,nruns,elapsed
"glmnet Normal naive","(0.0,1000,100)",0,45,1.02872223
"glmnet Normal naive","(0.1,1000,100)",0,42,0.957868819
"glmnet Normal naive","(0.2,1000,100)",0,47,1.01683103
"glmnet Normal naive","(0.5,1000,100)",0,25,1.050376077
"glmnet Normal naive","(0.9,1000,100)",0,12,1.021771804
"glmnet Normal naive","(0.95,1000,100)",0,7,1.094615217
"glmnet Normal naive","(0.0,5000,100)",0,11,1.020862223
"glmnet Normal naive","(0.1,5000,100)",0,12,1.096700314
"glmnet Normal naive","(0.2,5000,100)",0,11,1.158939982
"glmnet Normal naive","(0.5,5000,100)",0,8,1.071895565
"glmnet Normal naive","(0.9,5000,100)",0,3,1.093602991
"glmnet Normal naive","(0.95,5000,100)",0,2,1.266572348
"glmnet Normal naive","(0.0,100,500)",0,92,1.036176194
"glmnet Normal naive","(0.1,100,500)",0,93,1.084870742
"glmnet Normal naive","(0.2,100,500)",0,94,1.063591093
"glmnet Normal naive","(0.5,100,500)",0,73,1.07309303
"glmnet Normal naive","(0.9,100,500)",0,38,1.051978262
"glmnet Normal naive","(0.95,100,500)",0,27,1.040293172
"glmnet Normal naive","(0.0,100,1000)",0,69,0.983409541
"glmnet Normal naive","(0.1,100,1000)",0,60,0.896353093
"glmnet Normal naive","(0.2,100,1000)",0,66,1.01990578
"glmnet Normal naive","(0.5,100,1000)",0,58,1.069842361
"glmnet Normal naive","(0.9,100,1000)",0,21,1.053757569
"glmnet Normal naive","(0.95,100,1000)",0,20,1.070057909
"glmnet Normal naive","(0.0,100,5000)",0,21,1.029497466
"glmnet Normal naive","(0.1,100,5000)",0,21,1.042374449
"glmnet Normal naive","(0.2,100,5000)",0,20,1.018708904
"glmnet Normal naive","(0.5,100,5000)",0,19,0.987843101
"glmnet Normal naive","(0.9,100,5000)",0,15,0.997647356
"glmnet Normal naive","(0.95,100,5000)",0,4,1.011781506
"Lasso.jl Normal naive","(0.0,1000,100)",0,65,1.016926998
"Lasso.jl Normal naive","(0.1,1000,100)",0,62,0.974032834
"Lasso.jl Normal naive","(0.2,1000,100)",0,60,0.984682585
"Lasso.jl Normal naive","(0.5,1000,100)",0,43,1.036642674
"Lasso.jl Normal naive","(0.9,1000,100)",0,26,1.010422014
