proc,cfg,length,nruns,elapsed
"glmnet Binomial naive","(0.0,1000,100)",0,17,1.011877377
"glmnet Binomial naive","(0.1,1000,100)",0,15,1.024130038
"glmnet Binomial naive","(0.2,1000,100)",0,15,1.00388599
"glmnet Binomial naive","(0.5,1000,100)",0,12,1.071642142
"glmnet Binomial naive","(0.9,1000,100)",0,6,1.00636235
"glmnet Binomial naive","(0.95,1000,100)",0,4,0.974486238
"glmnet Binomial naive","(0.0,5000,100)",0,5,1.160214226
"glmnet Binomial naive","(0.1,5000,100)",0,4,0.978113681
"glmnet Binomial naive","(0.2,5000,100)",0,5,1.275057864
"glmnet Binomial naive","(0.5,5000,100)",0,4,1.17867796
"glmnet Binomial naive","(0.9,5000,100)",0,3,1.491861353
"glmnet Binomial naive","(0.95,5000,100)",0,2,1.463701022
"glmnet Binomial naive","(0.0,100,500)",0,51,0.930185278
"glmnet Binomial naive","(0.1,100,500)",0,65,1.081621853
"glmnet Binomial naive","(0.2,100,500)",0,57,1.046555482
"glmnet Binomial naive","(0.5,100,500)",0,55,1.049919306
"glmnet Binomial naive","(0.9,100,500)",0,28,1.073485947
"glmnet Binomial naive","(0.95,100,500)",0,16,1.078646412
"glmnet Binomial naive","(0.0,100,1000)",0,47,1.017210068
"glmnet Binomial naive","(0.1,100,1000)",0,44,1.026905165
"glmnet Binomial naive","(0.2,100,1000)",0,50,1.04946604
"glmnet Binomial naive","(0.5,100,1000)",0,37,1.03815724
"glmnet Binomial naive","(0.9,100,1000)",0,18,1.039358425
"glmnet Binomial naive","(0.95,100,1000)",0,16,1.044524261
"glmnet Binomial naive","(0.0,100,5000)",0,15,1.029857944
"glmnet Binomial naive","(0.1,100,5000)",0,15,0.99541173
"glmnet Binomial naive","(0.2,100,5000)",0,16,1.039850194
"glmnet Binomial naive","(0.5,100,5000)",0,14,1.017251504
"glmnet Binomial naive","(0.9,100,5000)",0,10,0.994345557
"glmnet Binomial naive","(0.95,100,5000)",0,9,1.013545733
"Lasso.jl Binomial naive","(0.0,1000,100)",0,34,1.022758823
"Lasso.jl Binomial naive","(0.1,1000,100)",0,32,1.041246788
"Lasso.jl Binomial naive","(0.2,1000,100)",0,32,1.01302869
"Lasso.jl Binomial naive","(0.5,1000,100)",0,29,1.01983676
"Lasso.jl Binomial naive","(0.9,1000,100)",0,21,1.0682509
"Lasso.jl Binomial naive","(0.95,1000,100)",0,15,1.048872193
"Lasso.jl Binomial naive","(0.0,5000,100)",0,7,1.071723934
"Lasso.jl Binomial naive","(0.1,5000,100)",0,7,1.109247571
"Lasso.jl Binomial naive","(0.2,5000,100)",0,7,1.110662649
"Lasso.jl Binomial naive","(0.5,5000,100)",0,6,1.00754229
"Lasso.jl Binomial naive","(0.9,5000,100)",0,5,1.096123235
"Lasso.jl Binomial naive","(0.95,5000,100)",0,4,1.17298186
"Lasso.jl Binomial naive","(0.0,100,500)",0,65,0.973627888
"Lasso.jl Binomial naive","(0.1,100,500)",0,79,1.004884315
"Lasso.jl Binomial naive","(0.2,100,500)",0,76,1.012937799
"Lasso.jl Binomial naive","(0.5,100,500)",0,77,1.035303883
"Lasso.jl Binomial naive","(0.9,100,500)",0,59,1.009365872
"Lasso.jl Binomial naive","(0.95,100,500)",0,24,0.950254426
"Lasso.jl Binomial naive","(0.0,100,1000)",0,50,0.988289265
"Lasso.jl Binomial naive","(0.1,100,1000)",0,49,1.042324256
"Lasso.jl Binomial naive","(0.2,100,1000)",0,52,1.033900499
"Lasso.jl Binomial naive","(0.5,100,1000)",0,44,0.986686825
"Lasso.jl Binomial naive","(0.9,100,1000)",0,29,1.023174504
"Lasso.jl Binomial naive","(0.95,100,1000)",0,30,1.023184252
"Lasso.jl Binomial naive","(0.0,100,5000)",0,12,1.070747829
"Lasso.jl Binomial naive","(0.1,100,5000)",0,12,1.036767426
"Lasso.jl Binomial naive","(0.2,100,5000)",0,12,1.020700974
"Lasso.jl Binomial naive","(0.5,100,5000)",0,12,1.021545868
"Lasso.jl Binomial naive","(0.9,100,5000)",0,9,1.204526602
"Lasso.jl Binomial naive","(0.95,100,5000)",0,4,1.025573441
